company_id,timein,breakout,breakin,timeout,monday,tuesday,wednesday,thursday,friday,saturday,sunday,flextime,delflag,id_,scheduleid
17,9:00:00,,,6:00:00,,,,1,,,,,,905,98
17,9:00:00,,,6:00:00,,,,,1,,,,,906,98
17,9:00:00,,,6:00:00,,,,,,1,,,,907,98
17,1:00:00,,,12:00:00,,,,,,,1,,,908,99
17,9:00:00,,,6:00:00,1,,,,,,,,,909,99
17,9:00:00,,,6:00:00,,1,,,,,,,,910,99
17,9:00:00,,,6:00:00,,,1,,,,,,,911,99
17,9:00:00,,,6:00:00,,,,1,,,,,,912,99
17,9:00:00,,,6:00:00,,,,,1,,,,,913,99
17,9:00:00,,,6:00:00,,,,,,1,,,,914,99
17,1:00:00,,,12:00:00,,,,,,,1,,,915,100
17,9:00:00,,,6:00:00,1,,,,,,,,,916,100
17,9:00:00,,,6:00:00,,1,,,,,,,,917,100
17,9:00:00,,,6:00:00,,,1,,,,,,,918,100
17,9:00:00,,,6:00:00,,,,1,,,,,,919,100
17,9:00:00,,,6:00:00,,,,,1,,,,,920,100
17,9:00:00,,,6:00:00,,,,,,1,,,,921,100
17,1:00:00,,,12:00:00,,,,,,,1,,,922,101
17,9:00:00,,,6:00:00,1,,,,,,,,,923,101
17,9:00:00,,,6:00:00,,1,,,,,,,,924,101
17,9:00:00,,,6:00:00,,,1,,,,,,,925,101
17,9:00:00,,,6:00:00,,,,1,,,,,,926,101
17,9:00:00,,,6:00:00,,,,,1,,,,,927,101
17,9:00:00,,,6:00:00,,,,,,1,,,,928,101
17,1:00:00,,,12:00:00,,,,,,,1,,,929,102
17,9:00:00,,,6:00:00,1,,,,,,,,,930,102
17,9:00:00,,,6:00:00,,1,,,,,,,,931,102
17,9:00:00,,,6:00:00,,,1,,,,,,,932,102
17,9:00:00,,,6:00:00,,,,1,,,,,,933,102
17,9:00:00,,,6:00:00,,,,,1,,,,,934,102
17,9:00:00,,,6:00:00,,,,,,1,,,,935,102
17,1:00:00,,,12:00:00,,,,,,,1,,,936,103
17,9:00:00,,,6:00:00,1,,,,,,,,,937,103
17,9:00:00,,,6:00:00,,1,,,,,,,,938,103
17,9:00:00,,,6:00:00,,,1,,,,,,,939,103
17,9:00:00,,,6:00:00,,,,1,,,,,,940,103
17,9:00:00,,,6:00:00,,,,,1,,,,,941,103
17,9:00:00,,,6:00:00,,,,,,1,,,,942,103
17,1:00:00,,,12:00:00,,,,,,,1,,,943,104
17,9:00:00,,,6:00:00,1,,,,,,,,,944,104
